code,title,session,career,units,delivery_type
MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6,In Person
DIPL8020,A Sociology of Diplomacy,Autumn Session,Postgraduate,6,Online or In Person
CBEA6070,ANU College of Business and Economics Internship Program (PG),First Semester / Second Semester,Postgraduate,6,In Person
CBEA3070,ANU College of Business and Economics Internship Program (UG),First Semester / Second Semester,Undergraduate,6,In Person
EXTN1007A,ANU Extension Advanced Japanese A,,Undergraduate,0,In Person
EXTN1007B,ANU Extension Advanced Japanese B,,Undergraduate,6,In Person
EXTN1001A,ANU Extension Astrophysics A,,Undergraduate,0,In Person
EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6,In Person
EXTN1004A,ANU Extension Biodiversity A,,Undergraduate,0,In Person
EXTN1004B,ANU Extension Biodiversity B,Autumn Session,Undergraduate,6,In Person
EXTN1002A,ANU Extension Chemistry A,,Undergraduate,0,In Person
EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6,In Person
EXTN1003A,ANU Extension Continuing Chinese A,,Undergraduate,0,In Person
EXTN1003B,ANU Extension Continuing Chinese B,,Undergraduate,6,In Person
EXTN1006A,ANU Extension Continuing Japanese A,,Undergraduate,0,In Person
EXTN1006B,ANU Extension Continuing Japanese B,Autumn Session,Undergraduate,6,In Person
EXTN1019A,ANU Extension Creative Computing A,,Undergraduate,0,In Person
EXTN1019B,ANU Extension Creative Computing B,Autumn Session,Undergraduate,6,In Person
EXTN1005A,ANU Extension Discovering Engineering A,,Undergraduate,0,In Person
EXTN1005B,ANU Extension Discovering Engineering B,Autumn Session,Undergraduate,6,In Person
EXTN1020B,ANU Extension Global Perspectives in Commerce B,Autumn Session,Undergraduate,6,In Person
EXTN1010A,ANU Extension Indonesian Politics and Culture A,,Undergraduate,0,In Person
EXTN1010B,ANU Extension Indonesian Politics and Culture B,,Undergraduate,6,In Person
EXTN1008A,ANU Extension Korean Language and Culture A,,Undergraduate,0,In Person
EXTN1008B,ANU Extension Korean Language and Culture B,,Undergraduate,6,In Person
EXTN1011A,ANU Extension Physics A,,Undergraduate,0,In Person
EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6,In Person
EXTN1012A,ANU Extension Specialist Mathematics A,,Undergraduate,0,In Person
EXTN1012B,ANU Extension Specialist Mathematics B,Autumn Session,Undergraduate,6,In Person
BIOL6188,ANU SynBio Challenge Team Project,Second Semester,Postgraduate,6,In Person
BIOL3188,ANU SynBio Challenge Team Project,Second Semester,Undergraduate,6,In Person
SCNC5922,ANU/NUS JD (Band 2 NP),First Semester / Second Semester,Undergraduate,6,In Person
HLTH3001,Aboriginal and Torres Strait Islander Health,First Semester,Undergraduate,6,In Person
HIST2022,Aboriginal and Torres Strait Islander History,First Semester,Undergraduate,6,In Person
PHYS8203,Accelerators and their Application,First Semester,Postgraduate,6,In Person
BUSN6051,Accounting Analytics,,Postgraduate,6,In Person
BUSN7051,Accounting Analytics,,Postgraduate,6,In Person
BUSN4500,Accounting Honours Thesis,First Semester / Second Semester,Undergraduate,6,In Person
INFS7004,Accounting Information Systems,First Semester / Second Semester,Postgraduate,6,In Person
INFS2005,Accounting Information Systems,First Semester / Second Semester,Undergraduate,6,In Person
BUSN1002,Accounting Processes and Systems,First Semester / Second Semester,Undergraduate,6,In Person
BUSN3001,Accounting Theory,First Semester / Second Semester,Undergraduate,6,In Person
BUSN8068,Accounting for Sustainability,First Semester / Second Semester,Postgraduate,6,In Person
ASIA8021,Activism and Social Change in Asia and the Pacific,,Postgraduate,6,In Person
ACST4031,Actuarial Control Cycle 1,First Semester,Undergraduate,6,In Person
ACST8040,Actuarial Control Cycle 1,First Semester,Postgraduate,6,In Person
ACST8041,Actuarial Control Cycle 2,Second Semester,Postgraduate,6,In Person
ACST4032,Actuarial Control Cycle 2,Second Semester,Undergraduate,6,In Person
ACST4062,Actuarial Data Analysis,Second Semester,Undergraduate,6,In Person
ACST6032,Actuarial Data Analysis,Second Semester,Postgraduate,6,In Person
ACST3032,Actuarial Data Analysis,Second Semester,Undergraduate,6,In Person
ACST4500,Actuarial Honours Thesis,First Semester / Second Semester,Undergraduate,6,In Person
STAT6045,Actuarial Techniques,Second Semester,Postgraduate,6,In Person
STAT3038,Actuarial Techniques,Second Semester,Undergraduate,6,In Person
ENGL2067,Adaptation: From Text to Screen,Second Semester,Undergraduate,6,In Person
LAWS6201,Administrative Law,First Semester,Postgraduate,6,In Person
LAWS2201,Administrative Law,First Semester,Undergraduate,6,In Person
BUSN3051,Advanced Accounting Data Analytics,Second Semester,Undergraduate,6,In Person
LAWS4262,Advanced Administrative Law,,Undergraduate,6,In Person
LAWS8462,Advanced Administrative Law,,Postgraduate,6,Online or In Person
MATH2322,"Advanced Algebra 1: Groups, Rings and Linear Algebra",Second Semester,Undergraduate,6,In Person
MATH3345,Advanced Algebra 2: Field extensions and Galois Theory,First Semester,Undergraduate,6,In Person
COMP4600,Advanced Algorithms,,Undergraduate,6,In Person
COMP8460,Advanced Algorithms,,Postgraduate,6,In Person
MATH2320,Advanced Analysis 1: Metric Spaces and Applications,First Semester,Undergraduate,6,In Person
MATH3320,Advanced Analysis 2: Lebesgue Integration and Hilbert Spaces,First Semester,Undergraduate,6,In Person
BUSN8051,Advanced Analytics in Contemporary Accounting,First Semester / Second Semester,Postgraduate,6,In Person
GREK3125,Advanced Ancient Greek,First Semester / Second Semester,Undergraduate,6,In Person
PSYC8521,Advanced Applications in Psychological Practice,Second Semester,Postgraduate,6,In Person
IDEC8064,Advanced Applied Microeconomics,First Semester,Postgraduate,6,Online or In Person
ARAB3001,Advanced Arabic 1,First Semester,Undergraduate,6,Online or In Person
ARAB3002,Advanced Arabic 2,Second Semester,Undergraduate,6,Online or In Person
ARAB3100,Advanced Arabic 3,,Undergraduate,6,Online
PSYC8510,Advanced Assessment in Professional Psychology,First Semester,Postgraduate,6,In Person
ECON3180,Advanced Behavioral Economics,,Undergraduate,6,In Person
ECON4480,Advanced Behavioral Economics,,Undergraduate,6,In Person
ECON8080,Advanced Behavioral Economics,,Postgraduate,6,In Person
ECON6080,Advanced Behavioral Economics,,Postgraduate,6,In Person
EMET8020,Advanced Case Studies in Applied Econometrics and Applied Economics,,Postgraduate,6,In Person
MATH3228,Advanced Complex Analysis,Second Semester,Undergraduate,6,In Person
COMP4820,Advanced Computing Internship,First Semester / Second Semester,Undergraduate,12,In Person
COMP4560,Advanced Computing Project,Summer Session / First Semester / Second Semester,Undergraduate,6,In Person
COMP8800,Advanced Computing Research Project,First Semester / Second Semester,Postgraduate,12,In Person
COMP8715,Advanced Computing Team Project,First Semester / Second Semester,Postgraduate,6,In Person
LAWS8218,Advanced Contracts,,Postgraduate,6,Online or In Person
ENGN8224,Advanced Control Systems,Second Semester,Postgraduate,6,In Person
FINM4015,Advanced Corporate Finance,First Semester / Second Semester,Undergraduate,6,In Person
FINM8004,Advanced Corporate Finance,First Semester / Second Semester,Postgraduate,6,In Person
ENGL3078,Advanced Creative Writing: Genre and Literary Value,Second Semester,Undergraduate,6,In Person
CRIM8005,Advanced Criminological Theory,,Postgraduate,6,In Person
CRIM4001,Advanced Criminology Seminar,First Semester,Undergraduate,6,In Person
CRIM8012,Advanced Criminology Seminar,,Postgraduate,6,In Person
FINM3007,Advanced Derivatives Pricing and Applications,Second Semester,Undergraduate,6,In Person
FINM6007,Advanced Derivatives Pricing and Applications,Second Semester,Postgraduate,6,In Person
MATH3342,Advanced Differential Geometry,First Semester,Undergraduate,6,In Person
EMET4314,Advanced Econometrics I,First Semester,Undergraduate,6,In Person
EMET8014,Advanced Econometrics I,First Semester,Postgraduate,6,In Person
EMET4308,Advanced Econometrics II,,Undergraduate,6,In Person
EMET8008,Advanced Econometrics II,,Postgraduate,6,In Person
PHYS6102,Advanced Electromagnetism,First Semester,Postgraduate,6,In Person
PHYS3102,Advanced Electromagnetism,First Semester,Undergraduate,6,In Person
PHIL3073,"Advanced Ethics, Social and Political Philosophy",First Semester,Undergraduate,6,In Person
BIOL3303,Advanced Field Studies in Functional Ecology,Spring Session,Undergraduate,6,In Person
BIOL6303,Advanced Field Studies in Functional Ecology,Spring Session,Postgraduate,6,In Person
ARCH8002,Advanced Field Training in Archaeological Science,Winter Session,Postgraduate,6,In Person
FREN3103,Advanced French Studies I,First Semester,Undergraduate,6,In Person
FREN3104,Advanced French Studies II,Second Semester,Undergraduate,6,In Person
MATH3325,"Advanced Functional Analysis, Spectral Theory, and Applications",Second Semester,Undergraduate,6,In Person
MATH6214,"Advanced Functional Analysis, Spectral Theory, and Applications",Second Semester,Postgraduate,6,In Person
PERS3002,Advanced Functional Persian,,Undergraduate,6,Online
STAT3065,Advanced General Insurance,First Semester,Undergraduate,6,In Person
STAT6065,Advanced General Insurance,First Semester,Postgraduate,6,In Person
GERM3103,Advanced German Studies I,First Semester,Undergraduate,6,In Person
GERM3104,Advanced German Studies II,,Undergraduate,6,In Person
PHYS8721,Advanced Imaging Methods and Systems,First Semester,Postgraduate,6,In Person
LAWS4264,Advanced International Law,,Undergraduate,6,In Person
FINM4106,Advanced Investments,First Semester / Second Semester,Undergraduate,6,In Person
FINM8006,Advanced Investments,First Semester / Second Semester,Postgraduate,6,In Person
ITAL3103,Advanced Italian Studies I,First Semester,Undergraduate,6,In Person
ITAL3104,Advanced Italian Studies II,Second Semester,Undergraduate,6,In Person
JPNS3006,Advanced Japanese: Language in Context,,Undergraduate,6,In Person
JPNS3005,Advanced Japanese: Issues in Contemporary Japan,Second Semester,Undergraduate,6,In Person
JPNS3007,Advanced Japanese: Readings in Culture and Society,First Semester,Undergraduate,6,In Person
JPNS3008,Advanced Japanese: Readings in Literature,,Undergraduate,6,In Person
KORE3015,Advanced Korean A: Film and Society,First Semester,Undergraduate,6,In Person
KORE3018,Advanced Korean B: Culture and History,Second Semester,Undergraduate,6,In Person
LATN3125,Advanced Latin,First Semester / Second Semester,Undergraduate,6,In Person
LAWS8800,Advanced Legal Methods and Legal Writing,First Semester / Second Semester,Postgraduate,6,Online or In Person
LAWS9800,Advanced Legal Methods and Legal Writing,First Semester / Second Semester,Postgraduate,6,Online or In Person
CHIN3015,Advanced Literary Chinese,Second Semester,Undergraduate,6,Online or In Person
ECON8026,Advanced Macroeconomic Analysis,First Semester / Second Semester,Postgraduate,6,In Person
BUSN6003,Advanced Management Accounting,,Postgraduate,6,In Person
BUSN3003,Advanced Management Accounting,,Undergraduate,6,In Person
BUSN8003,Advanced Managerial Decision Making,,Postgraduate,6,In Person
CHEM3202,Advanced Materials,First Semester,Undergraduate,6,In Person
CHEM6202,Advanced Materials,First Semester,Postgraduate,6,In Person
CHEM8031,Advanced Materials Manufacturing,Second Semester,Postgraduate,6,In Person
MATH3353,Advanced Mathematical Bioinformatics,First Semester,Undergraduate,6,In Person
MATH6208,Advanced Mathematical Bioinformatics,First Semester,Postgraduate,6,In Person
STAT3056,Advanced Mathematical Statistics,Second Semester,Undergraduate,6,In Person
STAT6056,Advanced Mathematical Statistics,Second Semester,Postgraduate,6,In Person
MATH1116,Advanced Mathematics and Applications 2,Second Semester,Undergraduate,6,In Person
MATH1115,Advanced Mathematics and Applications 1,First Semester,Undergraduate,6,In Person
ECON8025,Advanced Microeconomic Analysis,First Semester / Second Semester,Postgraduate,6,In Person
BIOL3203,Advanced Microscopy in Biosciences,Winter Session,Undergraduate,6,In Person
PERS3005,Advanced Persian A,,Undergraduate,6,Online
PERS3006,Advanced Persian B,,Undergraduate,6,Online
PHIL3074,Advanced Philosophical Topics,Second Semester,Undergraduate,6,In Person
LAWS8183,Advanced Principles of International Law,,Postgraduate,6,Online or In Person
PSYC8511,Advanced Psychological Interventions,First Semester,Postgraduate,6,In Person
PHYS3101,Advanced Quantum Mechanics,First Semester,Undergraduate,6,In Person
PHYS6101,Advanced Quantum Mechanics,First Semester,Postgraduate,6,In Person
ENGN4222,Advanced Reactor Science,Second Semester,Undergraduate,6,In Person
PHYS8212,Advanced Reactor Science,Second Semester,Postgraduate,6,In Person
LING4106,Advanced Readings in Linguistics,First Semester / Second Semester,Undergraduate,6,In Person
ECON8887,Advanced Research Essay,First Semester / Second Semester,Postgraduate,6,In Person
PSYC3018,Advanced Research Methods,First Semester,Undergraduate,6,In Person
EMDV9102,Advanced Research Methods for Environmental Management and Development,First Semester,Postgraduate,6,Online or In Person
EMDV9066,Advanced Research Project in Environmental Management & Development,Second Semester,Postgraduate,12,Online or In Person
EMDV9008,Advanced Research Proposal for Environmental Management and Development,First Semester,Postgraduate,6,Online or In Person
BIOL8702,Advanced Research Techniques,First Semester,Postgraduate,12,In Person
SOCY9002,Advanced Social Research Methods,,Postgraduate,6,In Person
LING6036,Advanced Sociolinguistics,First Semester,Postgraduate,6,In Person
LING3036,Advanced Sociolinguistics,First Semester,Undergraduate,6,In Person
SPAN3030,Advanced Spanish topics in Language and Culture,,Undergraduate,6,In Person
STAT3050,Advanced Statistical Learning,Second Semester,Undergraduate,6,In Person
STAT6050,Advanced Statistical Learning,Second Semester,Postgraduate,6,In Person
STAT4050,Advanced Statistical Learning,Second Semester,Undergraduate,6,In Person
PHYS6103,Advanced Statistical Mechanics,Second Semester,Postgraduate,6,In Person
PHYS3103,Advanced Statistical Mechanics,Second Semester,Undergraduate,6,In Person
STAT3006,Advanced Stochastic Processes,Second Semester,Undergraduate,6,In Person
STAT6060,Advanced Stochastic Processes,Second Semester,Postgraduate,6,In Person
SCNC2101,Advanced Studies Course,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,6,In Person
SCNC3101,Advanced Studies Course,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,6,In Person
BPHB1114,Advanced Studies in the Social Sciences and Humanities 1,Second Semester,Undergraduate,6,In Person
BPHB2114,Advanced Studies in the Social Sciences and Humanities 2,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,6,In Person
BPHB3114,Advanced Studies in the Social Sciences and Humanities 3,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,6,In Person
SOCR8010,Advanced Survey Data Analysis,Second Semester,Postgraduate,6,In Person
SOCR8203,Advanced Techniques in the Creation of Social Science Data,,Postgraduate,6,Online or In Person
MATH6216,Advanced Topics in Algebra,Second Semester,Postgraduate,6,In Person
MATH3354,Advanced Topics in Algebra,Second Semester,Undergraduate,6,In Person
COMP4620,Advanced Topics in Artificial Intelligence,Second Semester,Undergraduate,6,In Person
COMP8620,Advanced Topics in Artificial intelligence,Second Semester,Postgraduate,6,In Person
BIAN8010,Advanced Topics in Biological Anthropology,Winter Session,Postgraduate,6,Online or In Person
COMP4045,Advanced Topics in Computer Systems,Second Semester,Undergraduate,6,In Person
COMP8045,Advanced Topics in Computer Systems & Architecture,Second Semester,Postgraduate,6,In Person
ENGN8501,Advanced Topics in Computer Vision,Second Semester,Postgraduate,6,In Person
COMP8539,Advanced Topics in Computer Vision,Second Semester,Postgraduate,6,In Person
COMP8536,Advanced Topics in Deep Learning for Computer Vision,,Postgraduate,6,In Person
COMP8011,Advanced Topics in Formal Methods and Programming Languages,First Semester,Postgraduate,6,In Person
COMP4011,Advanced Topics in Formal Methods and Programming Languages,First Semester,Undergraduate,6,In Person
COMP4680,Advanced Topics in Machine Learning,Second Semester,Undergraduate,6,In Person
COMP8650,Advanced Topics in Machine Learning,Second Semester,Postgraduate,6,In Person
MATH3351,Advanced Topics in Mathematical Physics,,Undergraduate,6,In Person
MUSI3324,Advanced Topics in Music Analysis,,Undergraduate,6,In Person
PHIL4011,Advanced Topics in Philosophy,First Semester / Second Semester,Undergraduate,6,In Person
PHIL4012,Advanced Topics in Philosophy 2,First Semester / Second Semester,Undergraduate,6,In Person
ECON8901,"Advanced Topics in Poverty, Public Policy and Development",,Postgraduate,6,In Person
ECON6901,"Advanced Topics in Poverty, Public Policy and Development",Second Semester,Postgraduate,6,In Person
BIOL8002,Advanced Topics in Quantitative Biology,Second Semester,Postgraduate,6,In Person
ENGN8536,Advanced Topics in Robotics and Autonomous Systems,Second Semester,Postgraduate,6,In Person
BIOL3144,Advanced and Applied Immunology,Second Semester,Undergraduate,6,In Person
BIOL6144,Advanced and Applied Immunology,Second Semester,Postgraduate,6,In Person
BIOL6107,Advances in Medical and Plant Biochemistry,First Semester,Postgraduate,6,In Person
BIOL3107,Advances in Medical and Plant Biochemistry,First Semester,Undergraduate,6,In Person
BIOL6177,Advances in Molecular Plant Science,First Semester,Postgraduate,6,In Person
BIOL3177,Advances in Molecular Plant Science,First Semester,Undergraduate,6,In Person
ENGN3338,Aerodynamics,First Semester,Undergraduate,6,In Person
ENGN3339,Aerospace Structures and Materials,First Semester,Undergraduate,6,In Person
ENVS3042,Agricultural Innovation,Second Semester,Undergraduate,6,In Person
ENVS6342,Agricultural Innovation,Second Semester,Postgraduate,6,In Person
ENVS2024,Agricultural Systems,Winter Session,Undergraduate,6,In Person
ENVS6224,Agricultural Systems,Winter Session,Postgraduate,6,In Person
IDEC8018,Agricultural and Resource Economics,Second Semester,Postgraduate,6,Online or In Person
ENGN4339,Aircraft and Spacecraft - Design and Performance,Second Semester,Undergraduate,6,In Person
ASIA2747,"Airlines in Asia and the Pacific: Histories, Technologies, Cultures, and Geographies",Second Semester,Undergraduate,6,In Person
CRIM2005,"Alcohol, Drugs and Crime: Promoting Health and Preventing Consequences",,Undergraduate,6,In Person
CLAS2015,Alexander the Great and the Hellenistic World: An Age of Transformation and Discovery,,Undergraduate,6,In Person
MATH6118,"Algebra 1: Groups, Rings and Advanced Linear Algebra",Second Semester,Postgraduate,6,In Person
MATH6215,Algebra 2: Field extensions and Galois Theory,First Semester,Postgraduate,6,In Person
MATH1003,Algebra and Calculus Methods,First Semester,Undergraduate,6,In Person
MATH8204,Algebraic Topology,Second Semester,Postgraduate,6,In Person
MATH4204,Algebraic Topology Honours,Second Semester,Undergraduate,6,In Person
COMP6466,Algorithms,Second Semester,Postgraduate,6,In Person
COMP3600,Algorithms,Second Semester,Undergraduate,6,In Person
STST8053,"Alliances in Asia: theory, history and practice",Second Semester,Postgraduate,6,In Person
ENGL3021,"American Literature: Nature, Retreat, Experiment",First Semester,Undergraduate,6,In Person
MATH6110,Analysis 1: Metric spaces and Applications,First Semester,Postgraduate,6,In Person
MATH6212,Analysis 2: Lebesgue Integration and Hilbert Spaces,First Semester,Postgraduate,6,In Person
BUSN4007,Analysis of Financial Reporting,First Semester,Undergraduate,6,In Person
BUSN8007,Analysis of Financial Reporting,First Semester,Postgraduate,6,In Person
POPH8313,Analysis of Public Health Data,Second Semester,Postgraduate,6,Online or In Person
POPH8913,Analysis of Public Health Data,Quarter 3,Research,6,In Person
ARCH3043,Analysis of Vertebrate Remains,Autumn Session,Undergraduate,6,In Person
ARCH6043,Analysis of Vertebrate Remains,Autumn Session,Postgraduate,6,In Person
INFS8211,Analytics for Digital Transformation,,Postgraduate,6,In Person
ARCH8044,Ancient Biomolecules And Our Past,Second Semester,Postgraduate,6,In Person
CLAS1006,"Ancient Greece: History, Culture and Society",Second Semester,Undergraduate,6,In Person
BIAN3125,Ancient Health and Disease,,Undergraduate,6,In Person
BIAN6512,Ancient Health and Disease,,Postgraduate,6,In Person
ARCH2030,Angkor: Power and Glory. The Rise of States in Southeast Asia,Second Semester,Undergraduate,6,Online or In Person
ARCH3108,Animal and Plant Domestication,First Semester,Undergraduate,6,In Person
ARCH6108,Animal and Plant Domestication,First Semester,Postgraduate,6,In Person
CHMD8009,Anthropological Approaches to Health Interventions,Second Semester,Postgraduate,6,Online or In Person
ANTH9112,Anthropological Field Methods,Autumn Session,Postgraduate,12,In Person
ANTH9949,Anthropological Methods for PhD students,Autumn Session,Postgraduate,12,In Person
ANTH9901,Anthropology PhD Thesis Writing Workshop,First Semester / Second Semester,Postgraduate,12,In Person
ANTH8061,Anthropology and Planetary Futures,First Semester,Postgraduate,6,Online or In Person
ANTH6064,Anthropology of Environmental Disasters,,Postgraduate,6,In Person
BIAN2064,Anthropology of Environmental Disasters,,Undergraduate,6,In Person
ANTH1003,Anthropology: Critical Foundations,Second Semester,Undergraduate,6,In Person
ANTH6003,Anthropology: Critical Foundations,Second Semester,Postgraduate,6,In Person
ARAB3010,Applied Arabic,,Undergraduate,12,In Person
FINM7007,Applied Corporate Finance,First Semester / Second Semester,Postgraduate,6,In Person
CECS8005,Applied Cybernetics Professional Experience,,Postgraduate,0,In Person
CYBN8005,Applied Cybernetics Professional Experience,Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,0,In Person
FINM6041,Applied Derivatives,First Semester / Second Semester,Postgraduate,6,In Person
IDEC8020,Applied Economic Dynamics,First Semester,Postgraduate,6,Online or In Person
MGMT8020,Applied Entrepreneurship and Innovation,,Postgraduate,6,In Person
POPH8920F,"Applied Epidemiology Thesis, National Centre for Epidemiology and Population Health",Quarter 1 / First Semester / Quarter 2 / Quarter 3 / Second Semester / Quarter 4,Research,1,Online or In Person
FINM8014,Applied Financial Intermediation and Debt Markets,,Postgraduate,6,In Person
FINM7006,Applied Foundations of Finance,First Semester / Second Semester,Postgraduate,6,In Person
FINM6015,Applied Foundations of Fintech,Second Semester,Postgraduate,6,In Person
EMSC3033,Applied Geophysics,First Semester,Undergraduate,6,In Person
FINM7008,Applied Investments,First Semester / Second Semester,Postgraduate,6,In Person
EMET4310,Applied Macro & Financial Econometrics,Second Semester,Undergraduate,6,In Person
EMET8010,Applied Macro and Financial Econometrics,,Postgraduate,6,In Person
EMET6010,Applied Macro and Financial Econometrics,Second Semester,Postgraduate,6,In Person
EMET3008,Applied Macro and Financial Econometrics,Second Semester,Undergraduate,6,In Person
MKTG8060,Applied Market Research,Second Semester,Postgraduate,6,In Person
PHYS4301,Applied Mathematical Methods in Physics,First Semester,Undergraduate,6,In Person
PHYS8301,Applied Mathematical Methods in Physics,First Semester,Postgraduate,6,In Person
MATH2305,Applied Mathematics I,First Semester,Undergraduate,6,In Person
MATH6405,Applied Mathematics I: Ordinary Differential Equations and Vector Calculus,First Semester,Postgraduate,6,In Person
MATH2306,Applied Mathematics II,Second Semester,Undergraduate,6,In Person
EMET3006,Applied Micro-econometrics,First Semester / Second Semester,Undergraduate,6,In Person
EMET4301,Applied Micro-econometrics,First Semester / Second Semester,Undergraduate,6,In Person
EMET6001,Applied Micro-econometrics,First Semester / Second Semester,Postgraduate,6,In Person
ENGN6613,Applied Optics,Second Semester,Postgraduate,6,In Person
PHYS3051,Applied Optics,Second Semester,Undergraduate,6,In Person
ENGN4613,Applied Optics,Second Semester,Undergraduate,6,In Person
PHYS6502,Applied Optics,Second Semester,Postgraduate,6,In Person
CRWF7000,Applied Policy Project,,Postgraduate,6,In Person
FINM6016,Applied Portfolio Construction,First Semester / Second Semester,Postgraduate,6,In Person
FINM8100,Applied Project in Finance,First Semester / Second Semester,Postgraduate,6,In Person
STAT4102,Applied Time Series Analysis,First Semester,Undergraduate,6,In Person
STAT8002,Applied Time Series Analysis,First Semester,Postgraduate,6,In Person
MMIB4001,Applied Topics in Business Honours Studies,First Semester / Second Semester,Undergraduate,6,In Person
MMIB8001,Applied Topics in Business Studies,Summer Session / First Semester / Autumn Session / Second Semester,Postgraduate,6,In Person
FINM6005,Applied Valuation,First Semester / Second Semester,Postgraduate,6,In Person
ECON8113,Applied Welfare Economics,,Postgraduate,6,In Person
ECON4040,Applied Welfare Economics,,Undergraduate,6,In Person
EMET8001,Applied micro-econometrics,,Postgraduate,6,In Person
EMET6002,Applied micro-econometrics,,Postgraduate,6,In Person
BIOL3210,Appreciating Parasites: From Molecules to Ecosystems,Spring Session,Undergraduate,6,In Person
HIST2110,Approaches to History,First Semester,Undergraduate,6,In Person
HIST3110,Approaches to History,First Semester,Undergraduate,6,In Person
ASIA8022,"Approaching Asia and the Pacific: Concepts, Tools, and Methods",First Semester,Postgraduate,6,In Person
ARCH6008,Archaeological Field Methods,Second Semester,Postgraduate,6,In Person
ARCH2061,Archaeological Field Methods,Second Semester,Undergraduate,6,In Person
ARCH2055,Archaeological Fieldschools and Fieldwork Practice,Spring Session,Undergraduate,6,In Person
ARCH2007,Archaeological Laboratory Methods,,Undergraduate,6,In Person
ARCH8042,Archaeological Science Internship,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,6,In Person
ARCH8031,Archaeological Science Research Project 2,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,6,In Person
ARCH8030,Archaeological and Evolutionary Science Research Project 1,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,6,Online or In Person
ARCH4003,Archaeology and Biological Anthropology Honours Writing Seminar,Second Semester,Undergraduate,6,In Person
ARCH2052,Archaeology in Film and Fiction,,Undergraduate,6,In Person
ASIA2203,Archaeology of China,Second Semester,Undergraduate,6,In Person
ASIA6202,Archaeology of China,Second Semester,Postgraduate,6,In Person
ARCH3030,Archaeology of Ritual and Religion,,Undergraduate,6,In Person
ARCH6030,Archaeology of Ritual and Religion,,Postgraduate,6,In Person
ARCH2050,Archaeology of Southeast Asia,,Undergraduate,6,In Person
ARCH6005,Archaeology of the Pacific Islanders,,Postgraduate,6,In Person
ARCH2005,Archaeology of the Pacific Islanders,,Undergraduate,6,In Person
ARCH8033,"Archaeology, Climate Change and Society",,Postgraduate,6,Online or In Person
ARTH1006,Art History and Curatorial Studies 1: Cultures and Meaning,First Semester,Undergraduate,6,Online or In Person
ARTH1007,Art History and Curatorial Studies 2: Vision and Materiality,Second Semester,Undergraduate,6,In Person
ARTH2001,Art History and Curatorial Studies In-Country,Autumn Session,Undergraduate,12,In Person
ARTH6001,Art History and Curatorial Studies In-Country,Autumn Session,Postgraduate,12,In Person
ARTH4030,Art Museum Internship,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,12,In Person
ARTH8030,Art Museum Internship,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Postgraduate,12,In Person
ARTH3005,Art and Colour: Pigment and Politics,Second Semester,Undergraduate,6,In Person
COMP1720,Art and Interaction Computing,,Undergraduate,6,In Person
COMP6720,Art and Interaction Computing,Second Semester,Postgraduate,6,In Person
ARTH2044,"Art and Its Context: Materials, Techniques, Display",,Undergraduate,6,In Person
ARTH3057,Art and Politics of Collecting,First Semester,Undergraduate,6,In Person
ARTH2174,Art and the Body: Gender and Sexuality,,Undergraduate,6,In Person
ARTV2066,Art in Context,First Semester / Second Semester,Undergraduate,6,In Person
ARTH2052,Art of the Multiple,Second Semester,Undergraduate,6,In Person
COMP6320,Artificial Intelligence,First Semester,Postgraduate,6,In Person
COMP3620,Artificial Intelligence,First Semester,Undergraduate,6,In Person
LAWS4251,Artificial Intelligence and the Law,Second Semester,Undergraduate,6,In Person
LAWS8405,"Artificial Intelligence, Law & Society",,Postgraduate,6,Online
ASIA6220,Asia Pacific In-Country Learning,Summer Session / Winter Session,Postgraduate,6,In Person
ASIA3023,Asia Pacific Week Internship,First Semester,Undergraduate,6,In Person
ASIA1030,Asia and the Pacific in Motion,Second Semester,Undergraduate,6,In Person
ASIA1025,"Asia and the Pacific: Power, diversity and change",First Semester,Undergraduate,6,In Person
EMDV8009,Asia-Pacific Environmental Conflicts,Second Semester,Postgraduate,6,Online or In Person
ASIA3220,Asia-Pacific In-Country Learning,Summer Session / Winter Session / Spring Session,Undergraduate,6,In Person
BUSI7055,Asian Business Systems,Second Semester,Postgraduate,6,In Person
FINM6045,Asian Capital Markets,First Semester / Second Semester,Postgraduate,6,In Person
FINM3045,Asian Capital Markets,First Semester / Second Semester,Undergraduate,6,In Person
ASIA2067,Asian Economies,,Undergraduate,6,In Person
